created_at,text,location,retweeted,retweet_count
Sat Mar 21 18 32 51  0000 2020,RT  HAHayatu  Someone sought my advice on investment  kindly help  He has 15M he want to share it among his three children for university,Abuja  Nigeria,False,79
Sat Mar 21 18 32 28  0000 2020,A week ago  NU President Ted Carter said university employees could get up to 80 hours of paid emergency leave shou  ,Lincoln  NE,False,0
Sat Mar 21 18 32 03  0000 2020,RT  deanyeats  Short Video on Technology In the Classroom I prepared for the Jean Paul Dionne Symposium at the University Of Ottawa Faculty,Calgary  Alberta,False,4
Sat Mar 21 18 30 56  0000 2020, srivatsayb People are scared due to lack of education and also due to WhatsApp university,Pune  India,False,0
Sat Mar 21 18 29 45  0000 2020,RT  VinceKMorgan  And its a Match  Ill be continuing my medical education as an Orthopaedic Surgery resident at Rush University Medical C, Parts Unknown,False,41
Sat Mar 21 18 29 40  0000 2020,RT  HeartDocSharon  Stopping the Spread of  COVID19   Good patient education page  JAMA current BUT lets strongly e,Cincinnati  OH,False,10
Sat Mar 21 18 27 44  0000 2020,RT  OvieAli  Last year  the Dangote Foundation built a N1 5bn hostel of 10 blocks and donated it to A B U Zaria  Now he s building a N200bn,Venus,False,353
Sat Mar 21 18 27 32  0000 2020, LuckyHeronSay This is Way I support Jeremy Corbyn  He wanted to Give the British people an free University education ,London  UK,False,0
Sat Mar 21 18 27 19  0000 2020,RT  OvieAli  Nigerian footballer   Ahmedmusa718 is currently sponsoring 100 students to get education from the prestigious Skyline Universi,Venus,False,386
Sat Mar 21 18 27 09  0000 2020,RT  Noo learning  We  university students  demand the cancellation of the second term  Our health is more important than education  We come,,False,75
Sat Mar 21 18 26 00  0000 2020,RT  austincochrane0  Im excited to officially announce my commitment to Taylor University to not only further my education  but to join th,,False,2
Sat Mar 21 18 25 47  0000 2020, ChinaPhotoDaily  finbarmcd  UnaMullally  cmacconiomaire That s good  I don t know much about the Asian countries   ,Baile tha Cliath   Lucsamburg,False,0
Sat Mar 21 18 25 06  0000 2020,RT  ShashiTharoor  A small victory for common sense  amp  students  human rights  ,India,False,99
Sat Mar 21 18 24 53  0000 2020,27 Art Activities and Lessons to Try at Home   The Art of Education University  ,mashpee ,False,0
Sat Mar 21 18 24 42  0000 2020,RT  jasebyjason  Feel sorry for those final year school and university students who havent gotten to say a proper goodbye to their friends,,False,3138
Sat Mar 21 18 24 27  0000 2020, usierpinska  Lady3The  Pablonorm  CPHO Canada Education  the path from cocky ignorance to miserable uncertainty  Mark Twain,,False,0
Sat Mar 21 18 24 20  0000 2020,RT  kingadindu   WorldForestDay with  MangroveMarathon to  SaveNigerianMangroves in collaboration with Ignatius Ajuru University of Educati,Kaduna  Nigeria,False,5
Sat Mar 21 18 21 20  0000 2020, HRDMinistry   says that HRD has instructed education institutes to allow students to stay in  ,,False,0
Sat Mar 21 18 20 39  0000 2020,RT  Cisco  You don t need a campus to  collaborate  See how students and teachers keep collaborating with  Webex   R,T  37 3255152 121 945476,False,16
Sat Mar 21 18 20 13  0000 2020,RT  EslamHu59146023  Our numbers at university exceed thousands of people If anyone injured   Covid 19  coronavirus everyone will be inju,Al Farwaniya  Kuwait,False,9
Sat Mar 21 18 19 44  0000 2020,FAMILY Mother  Sunny Fu Father  Ouyang Long Siblings 1 Ouyang Didi 2 Ouyang Nini Education  1 Affiliated Senior  ,strictly non dating,False,0
