Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response
JimmyMacDonaldsCanada,2005,NA,NA,NA,Comedy,NA,NA,RichardWaugh,NA,English,Canada,2nominations,NA,SourceInternetMovieDatabaseValue8010,NA,80,24,tt0764491,series,NA,True
ItsFuntoHelpPoorPeopleFrannyCanada,2005,NA,18Jul2005,12min,Short,StevenTsapelas,StevenTsapelas,GingerKearnsShelbyBondBillWeedenAlienNess,Apairofgrownup1980schildstarsteamupwithbreakdancerstosavearecreationalcenterthatisabouttobeturnedintoaparkinglotAfollowuptothe2003shortBeMyValentineFrannyCanada,English,USA,NA,NA,SourceInternetMovieDatabaseValue8510,NA,85,21,tt0469923,movie,NA,NA,NA,NA,True
CanadaVignettesTheMapleLeaf,1978,NA,NA,1min,AnimationShortHistory,PaulBochner,NA,NA,AseriesofrelatedimagesmodeledafterthemapleleafsymbolontheCanadiannationalflag,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6510,NA,65,20,tt0225290,movie,NA,NA,NA,NA,True
CanadaVignettesVoyageurs,1978,NA,NA,1min,DocumentaryAnimationShort,NA,NA,MichaelKane,Acinematicportraitofthefurtradingteamsthattransportedmaterialsthroughoutmuchoftheinteriorof18th19thcenturyCanada,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7110,NA,71,20,tt0225303,movie,NA,NA,NA,NA,True
CanadaVignettesInstantFrench,1979,NA,NA,NA,ShortAnimationComedy,NA,NA,NA,AparodyadfortheperfectdeviceforsomeonewhohastroublelearningtheFrenchlanguage,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6210,NA,62,20,tt0225268,movie,NA,NA,NA,NA,True
CanadaVignettesLogger,1978,NA,NA,1min,DocumentaryAnimationShort,AlSens,NA,NA,Thehistoryofthedevelopmentofmodernloggingtechniques,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6310,NA,63,18,tt0225273,movie,NA,NA,NA,NA,True
TheFunnierSideofEasternCanada,1974,NA,NA,50min,Comedy,BruceCampbellStanleyZCherryDonaldWilder,BruceCampbellcreatorPatMcCormickEricCohenGaryMillerMikeWeinbergerJimmyRitzSteveMartin,SteveMartinPatMcCormickNeilLundyMaryJaneBouquet,SteveMartinsfirstTVspecial,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6210,NA,62,18,tt0390033,movie,NA,NA,NA,NA,True
CanadaVignettesCanadasSnowbirds,1980,NA,NA,2min,ShortDocumentary,JoanHenson,NA,NA,NA,English,Canada,NA,NA,SourceInternetMovieDatabaseValue6210,NA,62,17,tt0225253,movie,NA,NA,NA,NA,True
CanadaVignettesWopMay,1979,NA,NA,NA,AnimationShortBiography,NA,DonaldBrittain,DonaldBrittain,AfilmaboutthelifeandcareerofCanadasgreatestbushpilotandhisgreatestadventure,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7010,NA,70,17,tt0222902,movie,NA,NA,NA,NA,True
DinoHuntCanada,2015,NA,30Jan2015,60min,History,NA,YasmineAbbasakoorKareyBillyardDavidCEvans,DanAykroyd,NA,English,Canada,NA,NA,SourceInternetMovieDatabaseValue7110,NA,71,17,tt4585718,series,1,True
